iter	RMSE
0	14.41665727
1	14.05761678
2	13.6915892
3	13.32559369
4	12.98314894
5	12.68158358
6	12.37575297
7	12.09200043
8	11.81207889
9	11.51651003
10	11.2227221
11	10.99598991
12	10.74917312
13	10.50855937
14	10.26773011
15	10.03732695
16	9.836019046
17	9.645060072
18	9.447162301
19	9.261083687
20	9.085265249
21	8.936427207
22	8.778271212
23	8.615525286
24	8.476702338
25	8.34368314
26	8.211437458
27	8.087465652
28	7.954245676
29	7.834113724
30	7.721272292
31	7.601253141
32	7.501879218
33	7.407241928
34	7.304378607
35	7.207906863
36	7.115772804
37	7.039396626
38	6.95660314
39	6.884263535
40	6.807559592
41	6.735704597
42	6.66359191
43	6.605372542
44	6.539958521
45	6.484594495
46	6.422537703
47	6.36970823
48	6.313994904
49	6.260239588
50	6.211700672
51	6.160494279
52	6.11503221
53	6.073213074
54	6.033205184
55	5.99523922
56	5.9615932
57	5.929869287
58	5.901663079
59	5.869685655
60	5.840438501
61	5.807280323
62	5.780087
63	5.749936537
64	5.72279658
65	5.694897462
66	5.668377241
67	5.643248882
68	5.622329339
69	5.599742637
70	5.576173268
71	5.555961887
72	5.537464633
73	5.51749368
74	5.499939667
75	5.482191296
76	5.467841985
77	5.451564329
78	5.4347445
79	5.419472163
80	5.405151658
81	5.391237594
82	5.376865742
83	5.363297245
84	5.349147571
85	5.331442505
86	5.316684749
87	5.304627536
88	5.295246506
89	5.282431276
90	5.271341402
91	5.262846269
92	5.250295347
93	5.239327391
94	5.23158358
95	5.222008117
96	5.216820444
97	5.210424744
98	5.201469819
99	5.191829198
100	5.182198832
101	5.176539165
102	5.166497805
103	5.15843602
104	5.154243021
105	5.146649065
106	5.141857202
107	5.133413147
108	5.125505764
109	5.119660446
110	5.11010402
111	5.103029492
112	5.097464352
113	5.092142265
114	5.083181088
115	5.0784158
116	5.072916377
117	5.068824832
118	5.063521571
119	5.058963976
120	5.053604212
121	5.048776371
122	5.044588581
123	5.034822667
124	5.031540916
125	5.026199298
126	5.021927104
127	5.014605328
128	5.007930062
129	5.000409481
130	4.996881816
131	4.991291332
132	4.983860681
133	4.978429596
134	4.97454399
135	4.971025176
136	4.966197167
137	4.959419405
138	4.953914122
139	4.948252807
140	4.942685807
141	4.940026189
142	4.935388176
143	4.930726519
144	4.926946764
145	4.925561031
146	4.923643276
147	4.920106352
148	4.917517939
149	4.913641636
150	4.910886237
151	4.908110961
152	4.902187111
153	4.899308001
154	4.895684411
155	4.890330872
156	4.884252914
157	4.877895586
158	4.874922677
159	4.870786454
160	4.86722001
161	4.861763359
162	4.857436909
163	4.856237803
164	4.851424661
165	4.847550266
166	4.840613611
167	4.835952122
168	4.832164188
169	4.825728903
170	4.820298155
171	4.818153943
172	4.813414585
173	4.809034408
174	4.805195423
175	4.800602824
176	4.797220517
177	4.791040614
178	4.788378628
179	4.783798247
180	4.779579412
181	4.776210221
182	4.770652698
183	4.767131447
184	4.763729851
185	4.759454863
186	4.757054679
187	4.750432119
188	4.746672047
189	4.744649248
190	4.739815611
191	4.736687709
192	4.732901082
193	4.730524127
194	4.723738778
195	4.721488088
196	4.716797354
